LEVEL 0;;LEVEL 1;;LEVEL 2;;LEVEL 3;;LEVEL 4;;;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;4;СЛИННІ ЗАЛОЗИ І ПРОТОКИ;12;ІНШІ ПРОЦЕДУРИ;399;Інші процедури на слинній залозі або протоці;18360-02;Введення агента у слинну залозу;Partial gastrectomy with gastrojejunal anastomosis following previous procedure for peptic ulcer disease;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;4;СЛИННІ ЗАЛОЗИ І ПРОТОКИ;12;ІНШІ ПРОЦЕДУРИ;399;Інші процедури на слинній залозі або протоці;90140-00;Інші процедури на слинній залозі або протоці;Partial gastrectomy with Roux-en-Y reconstruction following previous procedure for peptic ulcer disease;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;400;Процедури на роті, піднебінні або піднебінному язичку, пов’язані з;45845-00;Внутрішньоротовий кістковий зубний імплантат, перший етап;Selective vagotomy with partial gastrectomy and gastroduodenal anastomosis following previous procedure for peptic ulcer disease;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;400;Процедури на роті, піднебінні або піднебінному язичку, пов’язані з;45847-00;Внутрішньоротовий кістковий зубний імплантат, другий етап;Selective vagotomy with partial gastrectomy and gastrojejunal anastomosis following previous procedure for peptic ulcer disease;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;3;РОЗРІЗ;401;Втручання, пов’язані з розрізом рота, піднебіння або піднебінного язичка;30281-00;Розсічення вуздечки губи (френотомія);Selective vagotomy with partial gastrectomy and Roux-en-Y reconstruction following previous procedure for peptic ulcer disease;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;3;РОЗРІЗ;401;Втручання, пов’язані з розрізом рота, піднебіння або піднебінного язичка;41810-00;Увулотомія;Control of bleeding peptic ulcer;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;3;РОЗРІЗ;401;Втручання, пов’язані з розрізом рота, піднебіння або піднебінного язичка;96215-00;Розріз і дренування ураженої ділянки у ротовій порожнині;Control of bleeding peptic ulcer by gastric resection;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;402;Біопсія ротової порожнини або м'якого піднебіння;30075-23;Біопсія ротової порожнини;Laparoscopic gastroplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;402;Біопсія ротової порожнини або м'якого піднебіння;30075-24;Біопсія м'якого піднебіння;Endoscopic gastroplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;402;Біопсія ротової порожнини або м'якого піднебіння;45799-00;Аспіраційна біопсія кісти щелепи;Gastroplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;403;Висічення ураженої ділянки рота або піднебіння;30275-00;Радикальне висічення ураженої ділянки всередині ротової порожнини;Laparoscopic sleeve gastrectomy [LSG];
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;403;Висічення ураженої ділянки рота або піднебіння;30283-00;Висічення кісти ротової порожнини;Sleeve gastrectomy [SG];
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;403;Висічення ураженої ділянки рота або піднебіння;45831-00;Висічення папілярної гіперплазії піднебіння;Laparoscopic revision of gastric band;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;403;Висічення ураженої ділянки рота або піднебіння;90141-00;Локальне висічення або деструкція ураженої ділянки кісткового піднебіння;Revision of gastric band;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;403;Висічення ураженої ділянки рота або піднебіння;90141-01;Висічення інших уражених ділянок ротової порожнини;Laparoscopic gastric banding;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;404;Інші пов’язані з висіченням втручання на роті, піднебінні або піднебінному язичку;30281-01;Розсічення вуздечки губи (френотомія);Gastric banding;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;404;Інші пов’язані з висіченням втручання на роті, піднебінні або піднебінному язичку;41787-00;Увулектомія з частковою палатектомією;Gastric bypass;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;404;Інші пов’язані з висіченням втручання на роті, піднебінні або піднебінному язичку;41787-01;Увулектомія з частковою палатектомією і тонзилектомією;Laparoscopic biliopancreatic diversion [LBPD];
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;404;Інші пов’язані з висіченням втручання на роті, піднебінні або піднебінному язичку;41810-01;Увулектомія;Biliopancreatic diversion [BPD];
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;5;ВИСІЧЕННЯ;404;Інші пов’язані з висіченням втручання на роті, піднебінні або піднебінному язичку;45825-00;Висічення екзостозів в області піднебіння;Laparoscopic gastric bypass;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);405;Увулопалатофарингопластика;41786-00;Увулопалатофарингопластика;Revision procedure for obesity;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);405;Увулопалатофарингопластика;41786-01;Увулопалатофарингопластика з тонзилектомією;Gastro-enterostomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;30052-02;Зашивання рани на губі;Enterocolostomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;30052-04;Закриття фістули в області рота;Enteroenterostomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;45676-00;Інше відновлення рота;Ileocolic resection with anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;45837-00;Підслизова вестибулопластика;Laparoscopic ileocolic resection with anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;45837-01;Відкрита вестибулопластика;Ileocolic resection with formation of stoma;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;90142-01;Інше відновлення піднебіння;Laparoscopic ileocolic resection with formation of stoma;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);406;Інші відновлювальні процедури на роті, піднебінні або піднебінному язичку;90142-02;Інше відновлення піднебінного язичка;Reconstruction of pyloroplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;10;РЕВІЗІЯ;407;Ревізійні процедури на роті, піднебінні або піднебінному язичку;41787-02;Ревізійна увулектомія;Reconstruction of gastroenterostomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;12;ІНШІ ПРОЦЕДУРИ;408;Інші втручання (процедури) на роті, піднебінні або піднебінному язичку;90143-00;Інші процедури на роті;Partial distal gastrectomy with gastroduodenal anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;12;ІНШІ ПРОЦЕДУРИ;408;Інші втручання (процедури) на роті, піднебінні або піднебінному язичку;90143-01;Інші процедури на піднебінні;Partial distal gastrectomy with gastrojejunal anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;5;РОТ, ПІДНЕБІННЯ І ПІДНЕБІННИЙ ЯЗИЧОК;12;ІНШІ ПРОЦЕДУРИ;408;Інші втручання (процедури) на роті, піднебінні або піднебінному язичку;90143-02;Інші процедури на піднебінному язичку;Partial proximal gastrectomy with oesophagogastric anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;3;РОЗРІЗ;409;Втручання, пов’язані з розрізом піднебінних мигдаликів або аденоїдів;41807-00;Розріз і дренування перитонзиллярного абсцесу;Local excision of lesion of stomach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;4;ДЕСТРУКЦІЯ;410;Пов’язані з деструкцією процедури на піднебінних мигдаликах або аденоїдах;41797-00;Зупинка кровотечі після проведення тонзилектомії і аденоїдектомії;Total gastrectomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;411;Біопсія піднебінних мигдаликів або аденоїдів;30075-25;Біопсія піднебінних мигдаликів або аденоїдів;Subtotal gastrectomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;412;Тонзилектомія або аденоїдектомія;41789-00;Тонзилектомія без аденоїдектомії;Radical gastrectomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;412;Тонзилектомія або аденоїдектомія;41789-01;Тонзилектомія з аденоїдектомією;Fundoplasty, laparoscopic approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;412;Тонзилектомія або аденоїдектомія;41801-00;Аденоїдектомія без тонзилектомії;Fundoplasty, laparoscopic approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;412;Тонзилектомія або аденоїдектомія;41804-00;Видалення язикового мигдалика;Fundoplasty, abdominal approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;5;ВИСІЧЕННЯ;413;Інші пов’язані з висіченням втручання на піднебінних мигдаликах або аденоїдах;90144-00;Висічення ураженої ділянки піднебінних мигдаликів або аденоїдів;Fundoplasty, abdominal approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;8;ВІДНОВЛЕННЯ (ВИПРАВЛЕННЯ);414;Інші відновлювальні процедури на піднебінних мигдаликах або аденоїдах;90145-00;Інше відновлення піднебінних мигдаликів або аденоїдів;Fundoplasty, transthoracic approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;6;ПІДНЕБІННІ МИГДАЛИКИ І АДЕНОЇДИ;12;ІНШІ ПРОЦЕДУРИ;415;Інші процедури на піднебінних мигдаликах або аденоїдах;90146-00;Інші процедури на піднебінних мигдаликах або аденоїдах;Fundoplasty, transthoracic approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;1;ОБСТЕЖЕННЯ;416;Процедури з обстеження глотки;41764-02;Обстеження глотки із застосуванням фіброволоконної оптики;Fundoplasty, transoral approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;417;Процедури на глотці, пов’язані з прикладанням, введенням або видаленням;30061-01;Видалення стороннього тіла з глотки без розрізу;Fundoplasty, abdominal approach, with oesophagoplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;3;РОЗРІЗ;418;Втручання, пов’язані з розрізом глотки;41758-00;Розділення спайок фарингеальної локалізації;Fundoplasty, transthoracic approach, with oesophagoplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;3;РОЗРІЗ;418;Втручання, пов’язані з розрізом глотки;41770-01;Крикофарингеальна міотомія з видаленням глоткової кишені;Fundoplasty with cardiopexy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;3;РОЗРІЗ;418;Втручання, пов’язані з розрізом глотки;41776-00;Крикофарингеальна міотомія;Oesophagogastric myotomy, laparoscopic approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;3;РОЗРІЗ;418;Втручання, пов’язані з розрізом глотки;41776-01;Крикофарингеальна міотомія з інверсією глоткової кишені;Oesophagogastric myotomy, abdominal approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;3;РОЗРІЗ;418;Втручання, пов’язані з розрізом глотки;41779-00;Фаринготомія;Oesophagogastric myotomy, abdominal approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;4;ДЕСТРУКЦІЯ;419;Пов’язані з деструкцією процедури на глотці;41674-02;Каутеризація (припікання) або діатермія глотки;Oesophagogastric myotomy, thoracic approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;4;ДЕСТРУКЦІЯ;419;Пов’язані з деструкцією процедури на глотці;52035-00;Ендоскопічна лазерна терапія верхніх відділів шлунково-кишкового тракту і дихальних шляхів;Oesophagogastric myotomy, thoracic approach;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;420;Фарингектомія;41782-00;Часткова фарингектомія;Oesophagogastric myotomy, laparoscopic approach, with closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;420;Фарингектомія;41785-00;Часткова фарингектомія з частковою глоссектомією;Oesophagogastric myotomy, abdominal approach, with fundoplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;420;Фарингектомія;41785-01;Часткова фарингектомія з тотальною глоссектомією;Oesophagogastric myotomy, abdominal approach, with fundoplasty and closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;30075-26;Біопсія тканин фарингеальної локалізації;Oesophagogastric myotomy, thoracic approach, with fundoplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;30286-00;Висічення бранхіогенної (бічної зябрової) кісти шиї;Oesophagogastric myotomy, thoracic approach, with fundoplasty and closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;30289-00;Висічення бранхіогенної нориці;Oesophagogastric myotomy, laparoscopic approach, with fundoplasty;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;31400-00;Висічення ураженої ділянки верхніх відділів шлунково-кишкового тракту і дихальних шляхів;Oesophagogastric myotomy, laparoscopic approach, with fundoplasty and closure of diaphragmatic hiatus;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;31409-00;Висічення ураженої ділянки парафарингеального простору шляхом цервікального доступу;Oesophagectomy by abdominal and transthoracic mobilisation, with thoracic oesophagogastric anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;31412-00;Висічення рецидивуючого або персистуючого ураження парафарингеального простору шляхом цервікального доступу;Oesophagectomy by abdominal and transthoracic mobilisation, with cervical oesophagogastric anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;41767-00;Видалення ураженої ділянки носоглотки;Oesophagectomy by abdominal and transthoracic mobilisation, with cervical oesophagostomy;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;41770-00;Видалення глоткової кишені;Trans-hiatal oesophagectomy by abdominal and cervical mobilisation, with oesophagogastric anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;41773-00;Ендоскопічна резекція глоткової кишені;Trans-hiatal oesophagectomy by abdominal and cervical mobilisation, with oesophagojejunal anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;41804-01;Видалення бічних валиків глотки;Oesophagectomy by abdominal and thoracic mobilisation with thoracic anastomosis, large intestine interposition and anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;41813-01;Видалення кісти глотки;Oesophagectomy by abdominal and thoracic mobilisation with thoracic anastomosis using Roux-en-Y reconstruction;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;5;ВИСІЧЕННЯ;421;Інші пов’язані з висіченням втручання на глотці;90149-00;Висічення інших уражених ділянок глотки;Oesophagectomy by abdominal and thoracic mobilisation with cervical anastomosis, large intestine interposition and anastomosis;
Клас 5;ПРОЦЕДУРИ НА НОСІ, РОТІ І ГЛОТЦІ;7;ГЛОТКА;12;ІНШІ ПРОЦЕДУРИ;422;Інші процедури на глотці;90147-00;Інші процедури на глотці;Oesophagectomy by abdominal and thoracic mobilisation with cervical anastomosis using Roux-en-Y reconstruction;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97011-00;Повне обстеження ротової порожнини;Oesophagectomy with reconstruction by free jejunal flap;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97012-00;Періодичне обстеження ротової порожнини;Oesophagectomy with reconstruction by other free flap;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97013-00;Обмежене обстеження ротової порожнини;Local excision of lesion of oesophagus;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97014-00;Консультація стоматолога;Repair of oesophageal perforation;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97015-00;Консультація стоматолога, розширена;Closure of loop ileostomy;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97018-00;Надання письмового висновку від стоматолога;Closure of ileostomy with restoration of bowel continuity;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;450;Стоматологічне обстеження;97019-00;Надання направлення (стоматологічні послуги);Closure of loop colostomy;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;451;Стоматологічна рентгеноскопія та інтерпретація її результатів;97022-00;Інтраоральна періапікальна або прикусна рентгенографія, одна експозиція;Closure of colostomy with restoration of bowel continuity;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;451;Стоматологічна рентгеноскопія та інтерпретація її результатів;97025-00;Інтраоральна оклюзійна рентгенографія, одна експозиція;Closure of other stoma of small intestine;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;451;Стоматологічна рентгеноскопія та інтерпретація її результатів;97039-00;Томографія черепа, або частини черепа;Closure of other stoma of large intestine;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;452;Інші послуги стоматологічної діагностики;97041-00;Бактеріологічне дослідження (стоматологія);Revision of stoma of small intestine;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;452;Інші послуги стоматологічної діагностики;97042-00;Дослідження і ідентифікація виділених культур (стоматологія);Revision of stoma of large intestine;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;452;Інші послуги стоматологічної діагностики;97043-00;Стоматологічний тест на чутливість до антибіотиків;Repair of parastomal hernia;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;452;Інші послуги стоматологічної діагностики;97044-00;Взяття зразків матеріалу із застосуванням неінвазивних методів для виявлення патологічних процесів;Repair of parastomal hernia with resiting of stoma;
Клас 6;СТОМАТОЛОГІЧНІ ПОСЛУГИ;_;_;15;ДІАГНОСТИЧНІ СТОМАТОЛОГІЧНІ ПОСЛУГИ;452;Інші послуги стоматологічної діагностики;97047-01;Скринінг-тест слини;Strictureplasty of small intestine;
